Subject,Catalog Number,Title,Professors
DAN,166,Survey of Afric-Amer Dan,"Lonnie Chaney, Victoria Dale, Marie-Joe Tabet, Alexis Hansbrough, Kristine Keppel, Shaquida Vergo, Keanna Corley"
DAN,301,World Dance,"Victoria Dale, Michael Jarett, Jason Hortin"
DAN,351,Dance Kinesiology,"Kimberly Fedele-Kaye, Ian Dodge, Melanie Hortin, Macy Mccombs"
DAN,365,Dance History I,Dolly Kelepecz
DAN,369,Aesthetics Design for Dan,"Jason Hortin, Louis Kavouras"
DAN,451,Prev & Care Dan Inj(Thry),"Dolly Kelepecz, Melanie Hortin, Macy Mccombs"
DERM,2000,Dermatology Learning Modules,
EAB,700,Research Methods,Manoj Sharma
EAB,703,Biostatistical Methods,Chad Cross
EAB,705,Epidemiology and Public Health,Ann Vuong
ECE,252,Infant/Toddler Curriculum,
ECE,441,Play Theory Early Chldhd,Kathleen O'Hara
ECE,453,Meth in Ece I: Soc Sci,Marissa Rasavong
ECE,457,Working with Families EC,Nicole Atwell
ECE,461,Early Chldhd Ed Mgt,Jenna Weglarz-Ward
ECE,463,STEAM in ECE,Melissa Yarczower
ECE,706,Planning Curr Young Child,Jeffrey Gelfer
ECE,711,Sci & Math Young Children,", Christine Baxter"
ECE,712,STEM in ECE,Debra-Lyn Potts
ECEM,714,Community Resilience,George Togliatti
ECEM,722,Community Preparedness,Carolyn Levering
ECEM,724,Exercise Design,Lindsey Bartlett
ECEM,726,Trauma and Stress Mgmt,Margaret Kennedy
ECEM,731,"Risk Asse, Mit and Comm",Carlito Rayos
ECEM,734,Concepts Implementation,Sanford Mangold
ECG,604,Modern Processor Architec,Mei Yang
ECG,695,Sp Topics: Engineer,Ke-Xun Sun
ECG,703,Machine Learning Applications,Shahram Latifi
ECON,102,Prin Microeconomics,", Shawn Mccoy, Matthew Rhodes, Ahmad Kader"
ECON,103,Prin Macroeconomics,"Daraboth Rith, William Robinson"
ECON,180,Econ of Discrimination,Ahmad Kader
ECON,190,Global Economics,"Ahmad Kader, Constant Tra"
ECON,200,"Capital, Constitutions",William Robinson
ECON,261,Principle of Statistics I,"Djeto Assane, Daraboth Rith, EMIR MALIKOV, Constant Tra"
EDEL,331,Tch Elem School Art,"Jody Harry, Chad Scott"
EDEL,408,Clsrm Mgt Ele Ed,", Jaymes Aimetti, Chia-Liang Dai, Annie Chou"
EDEL,453,Tch El Sch Soc Stud,Gregory Levitt
EDH,607,Leadership Development,Doris Watson
EDH,709,Economics of Hi Edu,Federick Ngo
EDH,715,Ed Organizations,Stefani Relles
EDH,727,College Students in the US,Kenyon Whitman
EDRL,401,Child Lit Elem Sch Curr,", Nicole Bylina-Streets, Sophie Ladd"
EDSC,408,Classrm Mgt Sec Ed,", Shahla Fayazpour"
EDSC,463,Tch Secondry Scienc,KATHERINE WADE-JAIMES
EDSC,473,Tch Sec Social St,Gregory Levitt
EDSP,411,Stud with Disab in Gen Ed,"Sylvia Bailey, , Nicholas Borsellino, Joseph Simmons"
EDSP,414,Career Ed Disabilit,Nicholas Borsellino
EDSP,432,Prnt Invlment for Students,", Kendra Antill, Michela Carattini, Travis Hammond, Suheyla Sarisahin"
EDU,201,Intro Elementary Edu,", Tina Stevens"
EDU,202,Intro to Secondary Edu,", Annie Chou, JinKun Shen"
EDU,203,Intro Special Education,", Joseph Simmons"
EDU,214E,Prep Tchrs to Use Tech,"Sam Leif, Charles Sinicki, Yan Chen, "
EDU,214S,Prep Tchrs to Use Tech,"Yan Chen, , Xue Xing, Evan Scherr"
EDU,280,Valuing Cultural Diversty,", Wynn Tashman, Malena Baizan, Norma Marrun, Deana Mauldin"
EDW,571,Advising CTSO,Xue Xing
EDW,749R,Eval of Workforce Ed Programs,Xue Xing
EE,220,Circuits I,", Ming Zhu"
EE,292,Intro Electrical Engr,", Ginger-Marie Wilkins"
EE,330,Engineer Electromagnetics,", Biswajit Das"
EE,340,Power System Fundamentals,Yahia Baghzouz
EE,438,Radar in Industry,Wen Shen
EE,495,Sp Topics: Engineer,", Ke-Xun Sun"
EGG,100,People and Technology,"Nick Oana, "
EMHA,701,Srvy US Hlthcare System: Prgm,Maire Simington
EMHA,718,Healthcare Economics,David Schweer
EMHA,719,Oper and Qlty Mgmt Hlth Serv,Michelle Sotero
EMHA,720,Info Systems in Hlth Serv Mgmt,Cae Swanger
EMHA,730,Strategic Mgmt of Hlth Serv,Maire Simington
EMHA,778,Spec Topic in HC Leadership Sp,Christopher Cochran
EMHA,779,Hlth Care Admin Capstone,Christopher Cochran
ENG,101,Composition I,", Francisco Ortega, Andrew Yim, Aisha Ratanapool, Elaine Bunker, Rachel Bovard, Mir Md Ariful Islam, Kelleen O'Connell-Mock, Stephanie Taylor"
ENG,102,Composition II,", Michael Rudolph, Steven Devito, Holly Bartlett, David Jurvelin, Sara Brown, Clement Gelly, Tanya Robertson, Mark Lester Ranchez, Patricia Heisser-Metoyer, Tanya Shirazi"
ENG,211,Intro to Linguistics,Amber Featherstone
ENG,231,World Literature I,", Carly Hunter, Philip Rusche, Scott Hollifield, Miranda Hannasch, John Quinn"
ENG,232,World Literature II,", Emily Setina, Amy Green, Akim Golubev, John Quinn, Eryn Green"
ENG,261,Intro Poetry,Christopher Decker
ENG,290,Intro Afric-Amer Lit,Briana Whiteside
ENG,298,Writing About Literature,", Stephen Brown, Daniel Erwin"
ENG,303,Literary Theory/Criticism,"Jessica Teague, Beth Rosenberg, Emily Setina"
ENG,401A,Advanced Composition,", Dominque Conway"
ENG,407A,Fund Bus Writ,", Amy Kaufman, Amber Featherstone, Nanette Hilton, Jeffrey Jablonski"
ENG,407B,Fund Tech Writing,", MELISSA CARRION, Ann Villanueva, Amy Kaufman, Amber Featherstone, Cody Gambino"
ENG,411B,Prin Mod Grammar,"Edwin Nagelhout, Homer Simms"
ENG,451B,American Literature II,", Steven Sexton, Vincent Perez, Claudia Keelan"
ENG,481B,Modern Comparative Lit,Christopher Decker
ENG,611B,Prin Mod Grammar,Edwin Nagelhout
ENV,101,Env Science,"Krystyna Stave, Michael Dwyer"
EOH,601,Toxicology,Melissa Marshall
EOH,645,Food and Health,"Sheila Janofsky, Kelly Webber"
EOH,705,Social Epidemiology,Erika Marquez
EOH,707,Practice of Public Health,", Maxim Gakh"
EOH,710,Fund Public Health,Courtney Coughenour
EOH,747,Infectious Disease,Bertille Mavegam Tango
EOH,750,Healthcare IP Programs,David Woodard
EPP,762,Intermediate Prac,"Michelle Zochowski-Tullio, Katherine Lee"
EPP,763,Psychoedu Acad Assess,"Michelle Zochowski-Tullio, Katherine Lee"
EPP,764,Ethics Seminar,Lara Conrad
EPP,771,Research Practicum,", Scott Loe, Samuel Song"
EPP,778,Bio Aspects,Justin Barterian
EPP,784,Supervision and Teaching,", Samuel Song"
EPP,786,First Year Practicum,Patrice Leverett
EPP,794,Doc Internship,", Patrice Leverett"
